mv,round,total,吞吐万s,W,起温,终温
105,1,298015628,1490.1,15.0,67.000,86.000
105,2,288442191,1442.2,14.4,65.000,68.000
105,3,297819145,1489.1,15.0,64.000,86.000
105,4,297351566,1486.8,15.0,64.000,87.000
105,5,297165237,1485.8,15.0,64.000,83.000
105,6,297182815,1485.9,15.0,65.000,86.000
105,7,296429301,1482.1,15.0,64.000,87.000
105,8,296703910,1483.5,15.0,66.000,84.000
105,9,297305472,1486.5,15.0,65.000,86.000
105,10,297684378,1488.4,15.0,65.000,86.000
