mv,round,total,吞吐万s,W,起温,终温
115,1,298128518,1490.6,15.0,66.000,88.000
115,2,298576175,1492.9,15.0,66.000,84.000
115,3,298094146,1490.5,15.0,65.000,86.000
115,4,298030084,1490.2,15.0,66.000,88.000
115,5,297743755,1488.7,15.0,65.000,86.000
115,6,297772269,1488.9,15.0,65.000,85.000
115,7,297278519,1486.4,15.0,64.000,87.000
115,8,297575004,1487.9,15.0,65.000,86.000
115,9,296959770,1484.8,15.0,66.000,88.000
115,10,297257034,1486.3,15.0,66.000,87.000
