timestamp	datetime	cpu_freq_max	cpu_freq_avg	cpu_temp	cpu_usage	pkg_w	core_w	uncore_w	dram_w	th_thermal	th_power	th_current	th_vr_th	th_vr_cur	pl1	pl2	bd_prochot	gpu_util	gpu_temp	gpu_power	mem_used	mem_total	mem_pct	net_rx	net_tx	disk_read	disk_write
1787369812.6250863	11:36:52	800	799.875	27.8	0.0	0	0	0	0	0	0	0	0	0	False	False	False	35.0	51.0	0	2412	11830	20.388841927303467	0	0	0	0
1787369845.1454027	11:37:25	800	799.375	27.8	0.0	0	0	0	0	0	0	0	0	0	False	False	False	41.0	52.0	0	2407	11830	20.346576500422657	0	0	0	0
1787370157.039516	11:42:37	834	604.0	27.8	0.0	0	0	0	0	0	0	0	0	0	False	False	False	0	47.0	0	2537	11830	21.445477599323752	0	0	0	0
1787370187.4249883	11:43:07	3401	3399.625	27.8	3.511694855052516	8.053727362995883	6.08896171859578	0.0	0.6701214933051682	0	0	0	0	0	False	False	False	34.0	49.0	0	2543	11830	21.496196111580726	0	0	0	0
1787370218.4197261	11:43:38	3401	1900.125	27.8	2.014424780352379	7.207367505115277	5.174841660197206	0.0	0.610084124298548	0	0	0	0	0	False	False	False	6.0	48.0	0	2528	11830	21.369399830938292	0	0	0	0
1787370253.3062139	11:44:13	3400	3398.875	27.8	7.520518269121684	9.975952875549703	7.866767652812699	0.0	0.7734711402529882	0	0	0	0	0	False	False	False	32.0	52.0	0	2450	11830	20.710059171597635	0	0	0	0
1787370283.3395412	11:44:43	3400	3024.5	27.8	5.081511520476285	9.265531963025609	7.305033137294101	0.0	0.8289924763241088	0	0	0	0	0	False	False	False	44.0	55.0	0	2450	11830	20.710059171597635	0	0	0	0
1787370313.3637128	11:45:13	3400	3399.25	27.8	15.540848030058664	13.527547916251729	9.341525284326679	0.0	0.9404157122939059	0	0	0	0	0	False	False	False	45.0	57.0	0	2563	11830	21.66525781910397	0	0	0	0
1787370343.3932743	11:45:43	3400	2649.625	27.8	6.379716105722741	9.599039673202329	7.773238896762386	0.0	0.8520224319698179	0	0	0	0	0	False	False	False	34.0	54.0	0	2477	11830	20.938292476754015	0	0	0	0
1787370373.4154027	11:46:13	3400	3024.375	27.8	5.046708792565939	9.362339370837987	7.383195248048505	0.0	0.8387259755833848	0	0	0	0	0	False	False	False	45.0	56.0	0	2437	11830	20.600169061707525	0	0	0	0
1787370403.4494624	11:46:43	3407	2650.625	27.8	5.586993650442422	9.414533271380975	8.33874838421977	0.0	0.8760686549140773	0	0	0	0	0	False	False	False	41.0	57.0	0	2484	11830	20.99746407438715	0	0	0	0
1787370433.8090668	11:47:13	3400	2649.625	27.8	8.213999555164968	11.013010863472191	8.300918863849388	0.0	0.8715260383836142	0	0	0	0	0	False	False	False	41.0	56.0	0	2502	11830	21.149619611158073	0	0	0	0
1787370468.5072153	11:47:48	3401	3024.875	27.8	10.987936633141482	11.292027112128876	8.15802014403717	0.0	0.8754511211002788	0	0	0	0	0	False	False	False	46.0	58.0	0	2486	11830	21.014370245139478	0	0	0	0
1787370498.5339851	11:48:18	3401	3025.0	27.8	10.264572194888268	11.14196521639276	8.029601238543435	0.0	0.8662318815250575	0	0	0	0	0	False	False	False	46.0	57.0	0	2490	11830	21.048182586644128	0	0	0	0
1787370528.5747201	11:48:48	3400	3024.625	27.8	6.581938668944673	9.81001274776676	7.8101392203544115	0.0	0.8611914356678523	0	0	0	0	0	False	False	False	33.0	57.0	0	2482	11830	20.98055790363483	0	0	0	0
1787370558.5812032	11:49:18	3401	3024.5	27.8	9.834239990264084	11.065151805328721	8.145731005492872	0.0	0.8833719802087834	0	0	0	0	0	False	False	False	40.0	58.0	0	2496	11830	21.0989010989011	0	0	0	0
1787370588.6183243	11:49:48	3400	3024.25	27.8	10.417169048033276	11.304573312376583	8.304148705951727	0.0	0.8772178388452498	0	0	0	0	0	False	False	False	31.0	56.0	0	2513	11830	21.242603550295858	0	0	0	0
1787371937.736104	12:12:17	3400	2275.0	27.8	10.942213915465327	10.859675143813156	7.689296961787958	0.0	0.8406333067335118	0	0	0	0	0	False	False	False	41.0	56.0	0	3577	11830	30.236686390532547	0	0	0	0
1787371967.978642	12:12:47	3400	3399.125	27.8	17.62748262234274	14.853231178942648	7.2229906424156445	0.0	0.7891301399025681	0	0	0	0	0	False	False	False	39.0	57.0	0	3665	11830	30.980557903634825	0	0	0	0
1787371998.0129418	12:13:18	3400	2649.0	27.8	13.48609496215724	12.548164065846443	14.003022135793723	5.2724468097816854e-05	1.100418756455081	0	0	0	0	0	False	False	False	25.0	59.0	0	3557	11830	30.0676246830093	0	0	0	0
1787372456.8169224	12:20:56	3302	3299.75	27.8	15.342350052326385	13.029155722279398	7.35580088781223	0.0	0.6523903596717187	0	0	0	0	0	False	False	False	0	56.0	0	3992	11830	33.7447168216399	0	0	0	0
1787372486.824427	12:21:26	3303	2937.625	27.8	26.85509800980098	14.925872455708827	12.706703156629747	0.0	1.0943822447134708	0	0	0	0	0	False	False	False	43.0	60.0	0	4049	11830	34.22654268808115	0	0	0	0
1787372521.399771	12:22:01	3400	3399.375	27.8	9.096395603441554	11.44799913914357	10.00181493002023	0.0	0.9086206033385406	0	0	0	0	0	False	False	False	38.0	59.0	0	3626	11830	30.650887573964496	0	0	0	0
1787372551.4177606	12:22:31	3400	2274.5	27.8	6.508492174941955	10.163393344416788	8.646063671826575	0.0	0.8508303345580328	0	0	0	0	0	False	False	False	36.0	58.0	0	3598	11830	30.414201183431956	0	0	0	0
1787372581.4471068	12:23:01	3400	2649.375	27.8	5.436971413873436	9.574032460002279	7.982737272109216	0.0	0.8158008583107784	0	0	0	0	0	False	False	False	35.0	57.0	0	3479	11830	29.408284023668642	0	0	0	0
1787372611.4714725	12:23:31	3400	2650.0	27.8	11.00377757338324	12.065995949659179	9.438170158366816	0.0	0.9347028962817443	0	0	0	0	0	False	False	False	32.0	56.0	0	3532	11830	29.856297548605244	0	0	0	0
1787372642.0314624	12:24:02	3400	3024.375	27.8	10.884281120672961	11.863662053032746	9.889875405255188	0.0	0.9599412535981984	0	0	0	0	0	False	False	False	32.0	57.0	0	3511	11830	29.678782755705836	0	0	0	0
1787372675.6424632	12:24:35	3401	3024.625	27.8	7.494150881279933	10.494279112284978	9.30957788589119	0.0	0.8697859730005955	0	0	0	0	0	False	False	False	37.0	55.0	0	3599	11830	30.422654268808113	0	0	0	0
1787372705.6747975	12:25:05	3400	3024.5	27.8	21.567707343987212	15.960294578520573	13.273882349830169	0.0	0.9096881486215964	0	0	0	0	0	False	False	False	35.0	56.0	0	3745	11830	31.65680473372781	0	0	0	0
1787372735.6945772	12:25:35	3302	3300.25	27.8	23.69782333345406	14.954895556548564	13.697817467830614	0.0	1.0358852723379965	0	0	0	0	0	False	False	False	33.0	56.0	0	3857	11830	32.603550295857985	0	0	0	0
1787372765.7353702	12:26:05	3266	3210.875	27.8	23.594312615308752	14.985529001520739	12.69832495292953	0.0	1.0842151392768289	0	0	0	0	0	False	False	False	40.0	58.0	0	3797	11830	32.09636517328825	0	0	0	0
1787372795.7545116	12:26:35	3300	2937.0	27.8	22.75298403415518	14.93354479214223	12.689103624469691	0.0	1.086072171630735	0	0	0	0	0	False	False	False	41.0	60.0	0	3850	11830	32.544378698224854	0	0	0	0
1787372825.793723	12:27:05	3301	3299.75	27.8	27.990514984158523	14.688893153094385	12.758678044720677	0.0	1.0806742354082588	0	0	0	0	0	False	False	False	35.0	60.0	0	4040	11830	34.150464919695686	0	0	0	0
1787372855.8092816	12:27:35	3400	3024.375	27.8	18.850729808454552	15.28135986348116	11.254158648094062	0.0	0.9723877593107073	0	0	0	0	0	False	False	False	38.0	60.0	0	3611	11830	30.524091293322066	0	0	0	0
1787372885.847198	12:28:05	3300	3299.375	27.8	21.08165619988457	14.977578923026844	13.548212429345607	0.0	0.942495627174761	0	0	0	0	0	False	False	False	41.0	61.0	0	3663	11830	30.963651732882504	0	0	0	0
1787372915.8684385	12:28:35	3400	2274.75	27.8	5.81181364812322	10.180445653259465	11.651564305248606	0.0	1.0463223822455079	0	0	0	0	0	False	False	False	39.0	61.0	0	3728	11830	31.51310228233305	0	0	0	0
1787372945.9091606	12:29:05	3400	3399.625	27.8	18.35195714601403	15.397320301043862	11.411916174406402	0.0	0.8856323280385738	0	0	0	0	0	False	False	False	46.0	60.0	0	3640	11830	30.76923076923077	0	0	0	0
1787372975.9252324	12:29:35	3400	3399.25	27.8	18.94677143505162	15.402302182455673	13.360673284106541	0.0	0.9165488766943521	0	0	0	0	0	False	False	False	42.0	62.0	0	3681	11830	31.115807269653423	0	0	0	0
1787373005.9547744	12:30:05	3400	3399.125	27.8	6.171734748711602	10.009275203928242	9.616405070420667	0.0	0.8195348144437553	0	0	0	0	0	False	False	False	45.0	60.0	0	3511	11830	29.678782755705836	0	0	0	0
1787373035.9772878	12:30:35	3400	3382.125	27.8	11.439188210258367	12.21792778301553	9.467128035699329	0.0	0.9039958043344936	0	0	0	0	0	False	False	False	42.0	60.0	0	3608	11830	30.498732037193577	0	0	0	0
1787373066.0173	12:31:06	3400	3024.5	27.8	19.92914828740766	15.810328799728124	8.711759000864102	0.0	0.8483507976256877	0	0	0	0	0	False	False	False	46.0	59.0	0	3611	11830	30.524091293322066	0	0	0	0
1787373096.030103	12:31:36	3400	2649.625	27.8	4.6101580475342105	9.495973462256806	8.99954883607723	0.0	0.8667093533792575	0	0	0	0	0	False	False	False	41.0	59.0	0	3554	11830	30.04226542688081	0	0	0	0
1787373126.069316	12:32:06	3400	2274.75	27.8	17.688278572351436	15.112912843252115	12.776823010983689	0.0	0.8672923081873886	0	0	0	0	0	False	False	False	47.0	61.0	0	3674	11830	31.05663567202029	0	0	0	0
1787373156.089429	12:32:36	3400	2649.5	27.8	17.212966526812668	15.049377034455862	13.129272220857665	0.0	0.8931426495914752	0	0	0	0	0	False	False	False	45.0	62.0	0	3860	11830	32.628909551986474	0	0	0	0
1787373186.1206927	12:33:06	3400	2274.5	27.8	17.690483734717684	14.861944492436638	13.05721355746649	0.0	0.8903914776366851	0	0	0	0	0	False	False	False	37.0	62.0	0	3926	11830	33.18681318681318	0	0	0	0
