timestamp	datetime	capacity_pct	status	power_w	current_ma	voltage_mv	charge_full_uwh	charge_full_design_uwh	health_pct	cycle_count	phase	temp_c
1787369812.6253066	11:36:52	100	Full	0	0	16992	0	0	79.65838509316771	0	full	28.9
1787369845.1456232	11:37:25	100	Full	0	0	16988	0	0	79.65838509316771	0	full	28.9
1787370157.0397122	11:42:37	100	Full	0	0	16966	0	0	79.65838509316771	0	full	28.9
1787370187.425188	11:43:07	100	Full	0	0	16964	0	0	79.65838509316771	0	full	28.9
1787370218.4199202	11:43:38	100	Full	0	0	16963	0	0	79.65838509316771	0	full	28.9
1787370253.3063996	11:44:13	100	Full	0	0	16961	0	0	79.65838509316771	0	full	28.9
1787370283.3397696	11:44:43	100	Full	0	0	16960	0	0	79.65838509316771	0	full	28.9
1787370313.3639262	11:45:13	100	Full	0	0	16960	0	0	79.65838509316771	0	full	28.9
1787370343.3934512	11:45:43	100	Full	0	0	16959	0	0	79.65838509316771	0	full	28.9
1787370373.4155805	11:46:13	100	Full	0	0	16958	0	0	82.51552795031057	0	full	28.9
1787370403.4496489	11:46:43	100	Full	0	0	16957	0	0	82.51552795031057	0	full	28.9
1787370433.8092968	11:47:13	100	Full	0	0	16956	0	0	82.51552795031057	0	full	28.9
1787370468.5074167	11:47:48	100	Full	0	0	16955	0	0	82.51552795031057	0	full	28.9
1787370498.5341983	11:48:18	100	Full	0	0	16954	0	0	82.51552795031057	0	full	28.9
1787370528.5749605	11:48:48	100	Full	0	0	16954	0	0	82.51552795031057	0	full	28.9
1787370558.5813806	11:49:18	100	Full	0	0	16953	0	0	82.51552795031057	0	full	28.9
1787370588.6185005	11:49:48	100	Full	0	0	16952	0	0	82.51552795031057	0	full	28.9
1787371937.7363062	12:12:17	100	Full	0	0	16928	0	0	82.51552795031057	0	full	29.9
1787371967.9788759	12:12:47	100	Full	0	0	16928	0	0	82.51552795031057	0	full	29.9
1787371998.013124	12:13:18	100	Full	0	0	16927	0	0	82.51552795031057	0	full	29.9
1787372456.817134	12:20:56	100	Full	0	4	16921	0	0	82.51552795031057	0	full	29.9
1787372486.8246233	12:21:26	100	Not charging	0	1	16923	0	0	82.51552795031057	0	unknown	29.9
1787372521.4000163	12:22:01	100	Full	0	0	16924	0	0	82.51552795031057	0	full	29.9
1787372551.4179795	12:22:31	100	Full	0	0	16923	0	0	82.51552795031057	0	full	29.9
1787372581.4472926	12:23:01	100	Full	0	0	16923	0	0	82.51552795031057	0	full	29.9
1787372611.471658	12:23:31	100	Full	0	0	16923	0	0	82.51552795031057	0	full	29.9
1787372642.0316586	12:24:02	100	Full	0	0	16923	0	0	82.51552795031057	0	full	29.9
1787372675.6426423	12:24:35	100	Full	0	0	16923	0	0	82.51552795031057	0	full	29.9
1787372705.6749928	12:25:05	100	Full	0	0	16922	0	0	82.51552795031057	0	full	29.9
1787372735.6947865	12:25:35	100	Full	0	0	16923	0	0	82.51552795031057	0	full	29.9
1787372765.7355847	12:26:05	100	Full	0	0	16922	0	0	82.51552795031057	0	full	29.9
1787372795.754719	12:26:35	100	Full	0	0	16923	0	0	82.51552795031057	0	full	29.9
1787372825.7940376	12:27:05	100	Full	0	0	16922	0	0	82.51552795031057	0	full	29.9
1787372855.8094718	12:27:35	100	Full	0	0	16922	0	0	82.51552795031057	0	full	29.9
1787372885.8474443	12:28:05	100	Full	0	0	16921	0	0	82.51552795031057	0	full	29.9
1787372915.8686914	12:28:35	100	Full	0	0	16921	0	0	82.51552795031057	0	full	29.9
1787372945.9094086	12:29:05	100	Full	0	0	16921	0	0	82.51552795031057	0	full	29.9
1787372975.9254365	12:29:35	100	Full	0	0	16921	0	0	82.51552795031057	0	full	29.9
1787373005.954967	12:30:05	100	Full	0	0	16921	0	0	82.51552795031057	0	full	29.9
1787373035.9774718	12:30:35	100	Full	0	0	16921	0	0	82.51552795031057	0	full	29.9
1787373066.0175197	12:31:06	100	Full	0	0	16921	0	0	82.51552795031057	0	full	29.9
1787373096.0302818	12:31:36	100	Full	0	0	16920	0	0	82.51552795031057	0	full	29.9
1787373126.0695057	12:32:06	100	Full	0	0	16921	0	0	82.51552795031057	0	full	29.9
1787373156.0896323	12:32:36	100	Full	0	0	16920	0	0	82.51552795031057	0	full	29.9
1787373186.1209154	12:33:06	100	Full	0	0	16920	0	0	82.51552795031057	0	full	29.9
1787373216.142517	12:33:36	100	Full	0	0	16920	0	0	82.51552795031057	0	full	29.9
1787373246.1832688	12:34:06	100	Full	0	0	16920	0	0	82.51552795031057	0	full	29.9
1787373276.1928535	12:34:36	100	Full	0	0	16919	0	0	82.51552795031057	0	full	29.9
1787373306.2319682	12:35:06	100	Full	0	0	16919	0	0	82.51552795031057	0	full	29.9
