时间戳,标签,缓解状态,供电,电池%,Governor,EPP,PL1W,平均万/s,轮1万/s,轮2万/s,温度1,环境温度C,温度2,GPU状态
2026-08-15_15:37,换前基线_重建栈_50mV,,AC,100,powersave,balance_performance,15,1370.7,1376.1,1365.2,60.0->81.0,27.8,,MX150-41%
2026-08-15_22:01,集显基线_50mV,,AC,100,powersave,performance,15,1278.9,1277.6,1280.3,62.0->73.0,27.8,,NVIDIA-SMI has failed because it couldn't communicate with the NVIDIA driver. Make sure that the latest NVIDIA driver is installed and running.
2026-08-16_12:38,换脂后_AC_集显_50mV,,AC,100,powersave,performance,15,1301.3,1286.7,1316.0,55.0->59.0,27.8,,NVIDIA-SMI has failed because it couldn't communicate with the NVIDIA driver. Make sure that the latest NVIDIA driver is installed and running.
2026-08-16_12:46,换脂后_AC_独显_50mV,,AC,100,powersave,balance_performance,15,1417.5,1421.8,1413.3,57.0->66.0,27.8,,36, 61
2026-08-16_22:07,换脂后_AC_独显_20W,,AC,100,powersave,balance_performance,20,1619.2,1620.4,1618.0,55.0->70.0,27.8,,35, 62
2026-08-16_22:09,换脂后_AC_独显_25W,,AC,100,powersave,balance_performance,25,1731.6,1721.0,1742.2,60.0->72.0,27.8,,33, 61
2026-08-16_22:11,换脂后_AC_独显_30W,,AC,100,powersave,balance_performance,30,1746.3,1736.5,1756.1,59.0->75.0,27.8,,37, 66
2026-08-17_09:29,换脂后_DC_独显_50mV,,DC,95,powersave,performance,15,769.0,763.7,774.4,54.0->53.0,27.8,,35, 53
2026-08-17_09:33,换脂后_DC_独显_50mV_TurboOn,,DC,90,powersave,performance,15,1433.2,1434.1,1432.4,60.0->68.0,27.8,,38, 62
2026-08-17_09:37,换脂后_DC_独显_50mV_EPP平衡,,DC,86,powersave,balance_performance,15,1417.2,1415.5,1418.8,61.0->67.0,27.8,,35, 62
2026-08-17_09:39,换脂后_DC_独显_50mV_EPP省电,,DC,83,powersave,power,15,1412.9,1409.6,1416.2,65.0->69.0,27.8,,36, 62
2026-08-17_10:36,换脂后_DC_集显_50mV,,DC,78,powersave,performance,15,1314.2,1305.8,1322.5,52.0->57.0,27.8,,NVIDIA-SMI has failed because it couldn't communicate with the NVIDIA driver. Make sure that the latest NVIDIA driver is installed and running.
