timestamp	datetime	cpu_freq_max	cpu_freq_avg	cpu_temp	cpu_usage	pkg_w	core_w	uncore_w	dram_w	th_thermal	th_power	th_current	th_vr_th	th_vr_cur	pl1	pl2	bd_prochot	gpu_util	gpu_temp	gpu_power	mem_used	mem_total	mem_pct	net_rx	net_tx	disk_read	disk_write
1787295815.8962452	15:03:35	3400	2649.5	27.8	0.0	0	0	0	0	0	0	0	0	0	False	False	False	0	0	0	3690	11830	31.191885038038887	0	0	0	0
1787295891.5807846	15:04:51	3400	2673.0	27.8	0.0	0	0	0	0	0	0	0	0	0	False	False	False	0	0	0	3676	11830	31.073541842772613	0	0	0	0
1787295921.5873318	15:05:21	3400	1809.375	27.8	8.788547305051	10.474169682329057	6.365972852968361	2.21906328662061	1.5139426235795037	0	0	0	0	0	False	False	False	0	0	0	3701	11830	31.28486897717667	0	0	0	0
1787295997.2967138	15:06:37	3400	2870.625	27.8	0.0	0	0	0	0	0	0	0	0	0	False	False	False	0	0	0	3700	11830	31.276415891800507	0	0	0	0
1787296165.5766156	15:09:25	3399	2231.5	27.8	0.0	0	0	0	0	0	0	0	0	0	False	False	False	0	0	0	3710	11830	31.360946745562128	0	0	0	0
1787296200.3430111	15:10:00	3400	2628.75	27.8	9.382840795515648	10.896946426059635	6.423524969981299	2.2189919224234855	1.5150005273808178	0	0	0	0	0	False	False	False	0	0	0	3708	11830	31.344040574809807	0	0	0	0
1787296302.3985722	15:11:42	3400	1922.875	27.8	0.0	0	0	0	0	0	0	0	0	0	False	False	False	0	0	0	3716	11830	31.411665257819106	0	0	0	0
1787296870.2223163	15:21:10	3119	769.625	27.8	0.0	0	0	0	0	0	0	0	0	0	False	False	False	0	0	0	3652	11830	30.870667793744715	0	0	0	0
1787296918.9458578	15:21:58	3345	1312.75	27.8	0.0	0	0	0	0	0	0	0	0	0	False	False	False	0	0	0	3506	11830	29.636517328825025	0	0	0	0
1787298329.0366569	15:45:29	3088	1573.5	27.8	0.0	0	0	0	0	0	0	0	0	0	False	False	False	0	0	0	3688	11830	31.17497886728656	0	0	0	0
1787298360.0861747	15:46:00	2232	665.0	27.8	1.6984079233685265	3.7913440482992065	2.4325386569850282	0.3819178743462714	0.6097257220407589	0	0	0	0	0	False	False	False	0	0	0	3669	11830	31.014370245139478	0	0	0	0
