timestamp	datetime	capacity_pct	status	power_w	current_ma	voltage_mv	charge_full_uwh	charge_full_design_uwh	health_pct	cycle_count	phase	temp_c
1787806956.3439612	13:02:36	100	Full	0	0	16893	0	0	79.13043478260869	0	full	0
1787806987.964612	13:03:07	100	Full	0	0	16893	0	0	79.13043478260869	0	full	0
1787807017.9697933	13:03:37	100	Full	0	0	16893	0	0	79.13043478260869	0	full	29.9
1787807047.9972184	13:04:07	100	Full	0	0	16893	0	0	79.13043478260869	0	full	29.9
1787807078.0290637	13:04:38	100	Full	0	0	16893	0	0	79.13043478260869	0	full	29.9
1787807108.094371	13:05:08	100	Full	0	0	16893	0	0	79.13043478260869	0	full	29.9
1787807138.12499	13:05:38	100	Full	0	0	16893	0	0	79.13043478260869	0	full	29.9
1787807168.1511586	13:06:08	100	Full	0	0	16893	0	0	79.13043478260869	0	full	29.9
1787807198.1863601	13:06:38	100	Full	0	0	16893	0	0	79.13043478260869	0	full	29.9
1787807228.212402	13:07:08	100	Full	0	0	16893	0	0	79.13043478260869	0	full	29.9
1787807258.2605417	13:07:38	100	Full	0	0	16894	0	0	79.13043478260869	0	full	29.9
1787807288.323086	13:08:08	100	Full	0	0	16894	0	0	79.13043478260869	0	full	29.9
1787807318.3277507	13:08:38	100	Full	0	0	16893	0	0	79.13043478260869	0	full	29.9
1787807348.3449855	13:09:08	100	Full	0	0	16893	0	0	79.13043478260869	0	full	29.9
1787807378.365794	13:09:38	100	Full	0	0	16893	0	0	79.13043478260869	0	full	29.9
1787807408.3942182	13:10:08	100	Full	0	0	16893	0	0	79.13043478260869	0	full	29.9
1787807438.4359775	13:10:38	100	Full	0	0	16893	0	0	79.13043478260869	0	full	30.9
1787807468.462955	13:11:08	100	Full	0	0	16893	0	0	79.13043478260869	0	full	30.9
1787807498.4954326	13:11:38	100	Full	0	0	16893	0	0	79.13043478260869	0	full	30.9
1787807528.515375	13:12:08	100	Full	0	0	16893	0	0	79.13043478260869	0	full	30.9
1787807558.5473325	13:12:38	100	Full	0	0	16894	0	0	79.13043478260869	0	full	30.9
1787807588.578066	13:13:08	100	Full	0	0	16893	0	0	79.13043478260869	0	full	30.9
1787807618.619709	13:13:38	100	Full	0	0	16893	0	0	79.13043478260869	0	full	30.9
1787807648.6299303	13:14:08	100	Full	0	0	16893	0	0	79.13043478260869	0	full	30.9
1787807678.6693826	13:14:38	100	Full	0	0	16893	0	0	79.13043478260869	0	full	30.9
1787807708.6881244	13:15:08	100	Full	0	0	16893	0	0	79.13043478260869	0	full	30.9
1787807738.6896768	13:15:38	100	Full	0	0	16893	0	0	79.13043478260869	0	full	30.9
1787807768.7165833	13:16:08	100	Full	0	0	16893	0	0	79.13043478260869	0	full	30.9
1787807798.7533286	13:16:38	100	Full	0	0	16893	0	0	79.13043478260869	0	full	30.9
1787807828.7816968	13:17:08	100	Full	0	0	16893	0	0	79.13043478260869	0	full	30.9
1787807859.105812	13:17:39	100	Full	0	0	16893	0	0	79.13043478260869	0	full	30.9
1787807889.1421206	13:18:09	100	Full	0	0	16894	0	0	79.13043478260869	0	full	30.9
1787807919.1897922	13:18:39	100	Full	0	0	16893	0	0	79.13043478260869	0	full	30.9
